course_id,status,details
1,Success,SCELE Fakultas Ilmu Komputer Universitas Indonesia
2,Error,Can't find data record in database table course.
3,Error,This course is currently unavailable to students
4,Error,This course is currently unavailable to students
5,Error,This course is currently unavailable to students
6,Error,This course is currently unavailable to students
7,Error,This course is currently unavailable to students
8,Error,This course is currently unavailable to students
9,Error,This course is currently unavailable to students
10,Error,Can't find data record in database table course.
11,Error,Can't find data record in database table course.
12,Error,This course is currently unavailable to students
13,Success,Sistem Interaksi (A) - IKO31250
14,Success,Sistem Interaksi (B) - IKO31250
15,Success,Matematika Dasar 1 (A) - MAT10113
16,Success,Matematika Dasar 1 (B) - MAT10113
17,Success,Matematika Dasar 1 (C) - MAT10113
18,Success,Matematika Dasar 1 (D) - MAT10113
19,Success,Matematika Dasar 1 (E) - MAT10113
20,Error,This course is currently unavailable to students
21,Error,Can't find data record in database table course.
22,Success,"Fisika Dasar 1 (A,B,C,D,E)"
23,Success,"Matematika Dasar 1 (A,B,C)"
24,Success,Kurikulum S1 IK - 2016
25,Error,This course is currently unavailable to students
26,Success,"[REG] Matematika Diskret 1 (A,B,C,D,E,F) - Gasal 2016/2017"
27,Success,[Reg] Aljabar Linier (I) - Gasal 2016/2017
28,Success,[Reg] Dasar-Dasar Pemrograman 1 (B & C) - Gasal 2016/2017
29,Success,[Reg] Dasar-dasar Pemrograman 1 (A) - Gasal 2016/2017
30,Error,This course is currently unavailable to students
31,Success,"[Reg] Matematika Diskret 2 (A,B,C,D) - Gasal 2016/2017"
32,Success,[Reg] Statistika & Probabilitas (J) - Gasal 2016/2017
33,Success,"[Reg] Perancangan & Pemrograman Web (A,B,C,D,E) - Gasal 2016/2017"
34,Error,This course is currently unavailable to students
35,Success,[Reg] Basis Data (J) - Gasal 2016/2017
36,Success,[Reg] Rekayasa Perangkat Lunak (A & B) - Gasal 2016/2017
37,Success,"[Reg] Kerja Praktik (A,B,C,D,E) - Gasal 2016/2017"
